Name,Year,Position,Games,Attempts,Yards,TDs
"Ty Johnson, Maryland (Big Ten)",So.,RB,13.00,110.00,1004.00,6.00
"LJ Scott, Michigan St. (Big Ten)",So.,RB,12.00,184.00,994.00,6.00
"Andy Davidson, Army West Point (FBS Independent)",So.,LB,13.00,190.00,961.00,12.00
"Jalen Hurts, Alabama (Southeastern)",Fr.,QB,15.00,191.00,954.00,13.00
"Jahad Thomas, Temple (AAC)",Sr.,RB,12.00,207.00,953.00,13.00
"Ryan Nall, Oregon St. (Pac-12)",So.,RB,10.00,147.00,951.00,13.00
"Royce Freeman, Oregon (Pac-12)",Jr.,RB,11.00,168.00,945.00,9.00
"Brandon Dawkins, Arizona (Pac-12)",So.,QB,10.00,131.00,944.00,10.00
"Taquan Mizzell, Virginia (Atlantic Coast)",Sr.,RB,12.00,187.00,940.00,5.00
"Jeffery Wilson, North Texas (Conference USA)",Jr.,RB,11.00,169.00,936.00,14.00
"Josh Adams, Notre Dame (FBS Independent)",So.,RB,12.00,158.00,933.00,5.00
"Alex Gardner, FIU (Conference USA)",Jr.,RB,12.00,181.00,930.00,6.00
"Jamauri Bogan, Western Mich. (Mid-American)",Jr.,RB,11.00,179.00,923.00,8.00
"Nick Holley, Kent St. (Mid-American)",Jr.,RB,11.00,195.00,920.00,10.00
"Ryquell Armstead, Temple (AAC)",So.,RB,13.00,156.00,919.00,14.00
"Dalyn Dawkins, Colorado St. (Mountain West)",Jr.,RB,12.00,161.00,919.00,4.00
"Kalif Phillips, Charlotte (Conference USA)",Sr.,RB,11.00,189.00,907.00,4.00
"Brandon Radcliff, Louisville (Atlantic Coast)",Sr.,RB,13.00,138.00,903.00,6.00
"Jarveon Williams, UTSA (Conference USA)",Sr.,RB,13.00,207.00,900.00,8.00
"Marquis Young, Massachusetts (FBS Independent)",So.,RB,12.00,198.00,898.00,4.00
"Kerryon Johnson, Auburn (Southeastern)",So.,RB,12.00,182.00,895.00,11.00
"Jordan Scarlett, Florida (Southeastern)",So.,RB,13.00,179.00,889.00,6.00
"Joel Bouagnon, Northern Ill. (Mid-American)",Sr.,RB,12.00,182.00,885.00,8.00
"Terrell Newby, Nebraska (Big Ten)",Sr.,RB,13.00,190.00,879.00,7.00
"Warren Wand, Arkansas St. (Sun Belt)",So.,RB,13.00,200.00,879.00,7.00
"James Summers, East Carolina (AAC)",Sr.,QB,12.00,162.00,869.00,7.00
"Larry Rose III, New Mexico St. (Sun Belt)",Jr.,RB,9.00,159.00,865.00,4.00
"Jocobi Owens, Air Force (Mountain West)",Sr.,RB,13.00,142.00,859.00,5.00
"Elijah Hood, North Carolina (Atlantic Coast)",Jr.,RB,11.00,145.00,858.00,8.00
"Lavon Coleman, Washington (Pac-12)",Jr.,RB,14.00,114.00,852.00,7.00
"Jerod Evans, Virginia Tech (Atlantic Coast)",Jr.,QB,14.00,204.00,846.00,12.00
"De'Veon Smith, Michigan (Big Ten)",Sr.,RB,13.00,181.00,846.00,10.00
"J.T. Barrett, Ohio St. (Big Ten)",Jr.,QB,13.00,205.00,845.00,9.00
"Leonard Fournette, LSU (Southeastern)",Jr.,RB,7.00,129.00,843.00,8.00
"Sony Michel, Georgia (Southeastern)",Jr.,RB,12.00,152.00,840.00,4.00
"Joshua Dobbs, Tennessee (Southeastern)",Sr.,QB,13.00,150.00,831.00,12.00
"Xavier Johnson, South Ala. (Sun Belt)",Jr.,RB,12.00,151.00,831.00,10.00
"Greg Howell, Fla. Atlantic (Conference USA)",Jr.,RB,12.00,167.00,828.00,13.00
"Khalfani Muhammad, California (Pac-12)",Sr.,RB,11.00,152.00,827.00,2.00
"Jalen Rhodes, UTSA (Conference USA)",So.,RB,12.00,155.00,827.00,9.00
"Ahmad Bradshaw, Army West Point (FBS Independent)",Jr.,QB,12.00,185.00,826.00,8.00
"Akeem Judd, Ole Miss (Southeastern)",Sr.,RB,12.00,164.00,826.00,6.00
"Dorian Brown, Ohio (Mid-American)",Jr.,RB,13.00,158.00,825.00,4.00
"Bo Scarbrough, Alabama (Southeastern)",So.,RB,13.00,125.00,812.00,11.00
"Doroland Dorceus, Memphis (AAC)",Jr.,RB,13.00,132.00,810.00,9.00
"Bryce Love, Stanford (Pac-12)",So.,RB,12.00,111.00,783.00,3.00
"Tony Brooks-James, Oregon (Pac-12)",So.,RB,12.00,101.00,771.00,9.00
"Ian Eriksen, Eastern Mich. (Mid-American)",So.,RB,11.00,184.00,771.00,9.00
"Dedrick Mills, Georgia Tech (Atlantic Coast)",Fr.,DB,9.00,152.00,771.00,12.00
"Curtis Samuel, Ohio St. (Big Ten)",Jr.,RB,13.00,97.00,771.00,8.00
"Rico Dowdle, South Carolina (Southeastern)",Fr.,RB,9.00,133.00,764.00,6.00
"Tonny Lindsey, Utah St. (Mountain West)",Jr.,RB,12.00,148.00,763.00,6.00
"Charles Williams, UNLV (Mountain West)",Fr.,RB,12.00,141.00,763.00,3.00
"Dontrell Hilliard, Tulane (AAC)",Jr.,RB,12.00,135.00,759.00,9.00
"Josh Rounds, Tulane (AAC)",Sr.,RB,12.00,125.00,758.00,7.00
"Devon Spalding, Central Mich. (Mid-American)",Jr.,RB,11.00,138.00,758.00,6.00
"Shock Linwood, Baylor (Big 12)",Sr.,RB,11.00,138.00,751.00,2.00
"Ish Witter, Missouri (Southeastern)",Jr.,RB,12.00,162.00,750.00,6.00
"Tion Green, Cincinnati (AAC)",Sr.,RB,12.00,159.00,,2.00
"Lamar Jordan, New Mexico (Mountain West)",Jr.,QB,12.00,114.00,739.00,3.00
