"","state","state_abbr","firearm_death_rate","homicide_death_rate","total_points","background_checks","mental_health_reporting","ppl_misdemeanors","ppl_terror_list","ppl_abusers","ppl_juv_offenders","ppl_mentally_ill","bg_check_procedure","dv_scene","dv_order","dealer_regs","gun_records","multiple_firearms","waiting_periods","licensing_purchasers","registration","reporting_lost_or_stolen","concealed","open","in_bars","on_campus","in_state_parks","in_church","in_parking_areas","shoot_first","assault_weapons","lg_capacity","fifty_caliber","ammo_regs","min_age","safe_storage","owner_auth","child_access","design_standards","microstamping","local_laws","nullification","medical_gag"
"29","New Hampshire","NH",8.6,0,5.5,0,0,0,0,0,0,0,0.5,2,2,6,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-3,0,0,0,0,0,0,0,1,0,0,0,0,0
"30","New Jersey","NJ",5.3,4.4,68.5,0,2,1,1,1,1,1,1,0,2,6,3,6,3,6,3,6,5,0.5,-1,0,0,-1,0,0,3,2,0,6,2,1,1,1,0,0,6,0,0
"31","New Mexico","NM",15.8,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"32","New York","NY",4.2,3.4,65.5,11,2,1,0,1,0,1,0,2,0,6,3,0,0,3,3,6,5,0.5,-1,0,0,-1,0,0,3,3,0,6,2,1,0,0,2,0,6,0,0
"33","North Carolina","NC",11.7,5.6,1.5,0,2,0,0,0.5,0,0.5,0.5,2,0,0,0,0,0,3,0,0,0,0,-1,0,-1,-1,-2,-3,0,0,0,0,0,0,0,1,0,0,0,0,0
"34","North Dakota","ND",12.1,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0
"35","Ohio","OH",10.3,5.2,10,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,6,0,0,-1,0,-1,-1,0,-1,0,0,0,0,2,1,0,0,0,0,0,0,0
"36","Oklahoma","OK",15.6,6.6,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,-1,-1,-2,-3,0,0,0,0,2,0,0,0.5,0,0,0,0,0
"37","Oregon","OR",11.7,2.4,11,6,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"38","Pennsylvania","PA",10.5,5.2,20,6,0,1,0,1,1,1,1,0,2,6,3,0,0,0,0,0,0,0,-1,0,0,-1,0,-3,0,0,0,0,2,1,0,0,0,0,0,0,0
"39","Rhode Island","RI",2.9,2.5,41.5,11,0,0,0,1,0,1,0,0,0,6,0,0,6,3,0,6,5,0.5,-1,0,0,-1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
"40","South Carolina","SC",15.5,7.6,1,0,2,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-1,0,0,-3,0,0,0,0,1,0,0,0,0,0,0,0,0
"41","South Dakota","SD",10.3,3.1,-4.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0,-1,0
"42","Tennessee","TN",14.7,6,2,0,2,1,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0.5,-1,0,-1,-1,-2,-3,0,0,0,0,0,0,0,0.5,0,0,0,-1,0
"43","Texas","TX",10.6,5.2,1.5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-1,0,-2,-3,0,0,0,0,2,0,0,1,0,0,0,0,0
"44","Utah","UT",12.3,2,-2,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0.5,-1,-1,-1,-1,-2,-3,0,0,0,0,1,0,0,0.5,0,0,0,-1,0
"45","Vermont","VT",10.3,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-1,0,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"46","Virginia","VA",10.3,4.1,7,0,2,0,0,0.5,1,1,1,0,0,3,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0
"47","Washington","WA",9.6,3.1,19.5,0,2,1,0,0,1,1,0.5,0,0,6,3,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"48","West Virginia","WV",14.5,5.9,3,0,0,1,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Wisconsin","WI",8.2,3,13,0,2,0,0,1,1,1,0.5,2,0,6,0,0,3,0,0,0,0,0,-1,0,-1,-1,-2,-1,0,0,0,0,2,0,0,0.5,0,0,0,0,0
"50","Wyoming","WY",16,4.4,-5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"51","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
